Medien||||
||||
id|file_name|file_type|description|source
M-63|http://upload.wikimedia.org/wikipedia/commons/8/8e/Battle_of_the_Bulge.jpg|WEBIMAGE||wikipedia
M-64|http://upload.wikimedia.org/wikipedia/commons/9/99/Auschwitz-Gedenksteine.jpg|WEBIMAGE||wikipedia
M-65|http://upload.wikimedia.org/wikipedia/commons/d/d2/Yalta_summit_1945_with_Churchill%2C_Roosevelt%2C_Stalin.jpg|WEBIMAGE||wikipedia
M-66|http://upload.wikimedia.org/wikipedia/commons/9/96/Bundesarchiv_Bild_183-Z0309-310%2C_Zerst%C3%B6rtes_Dresden.jpg|WEBIMAGE||wikipedia
M-67|http://upload.wikimedia.org/wikipedia/commons/5/56/Stars_%26_Stripes_%26_Hitler_Dead2.jpg|WEBIMAGE||wikipedia
M-68|http://upload.wikimedia.org/wikipedia/commons/1/16/Kapitulation-reims.gif|WEBIMAGE||wikipedia
M-69|http://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_the_United_Nations.svg|WEBIMAGE||wikipedia
M-70|http://upload.wikimedia.org/wikipedia/commons/2/2d/Bundesarchiv_Bild_183-R86965%2C_Potsdamer_Konferenz%2C_Gruppenbild.jpg|WEBIMAGE||wikipedia
M-71|http://upload.wikimedia.org/wikipedia/commons/9/9e/Potsdam_conference_1945-3.jpg|WEBIMAGE||wikipedia
M-72|http://upload.wikimedia.org/wikipedia/commons/b/b7/Atomic_cloud_over_Hiroshima.jpg|WEBIMAGE||wikipedia
M-73|http://upload.wikimedia.org/wikipedia/commons/d/d8/Japanese_Prisoners_of_War_at_Guam_-_15_August_1945.jpg|WEBIMAGE||wikipedia
M-74|http://upload.wikimedia.org/wikipedia/commons/c/cf/Harry_S._Truman.jpg|WEBIMAGE||wikipedia
M-75|http://upload.wikimedia.org/wikipedia/commons/2/24/US-MarshallPlanAid-Logo.svg|WEBIMAGE||wikipedia
M-76|http://upload.wikimedia.org/wikipedia/commons/3/37/Flag_of_NATO.svg|WEBIMAGE||wikipedia
M-77|http://upload.wikimedia.org/wikipedia/commons/0/05/D_international_vehicle_registration_oval.svg|WEBIMAGE||wikipedia
M-78|http://upload.wikimedia.org/wikipedia/commons/9/91/Bundesarchiv_Bild_183-19000-3301%2C_Berlin%2C_DDR-Gr%C3%BCndung%2C_Wahl_Pieck%2C_Grotewohl.jpg|WEBIMAGE||wikipedia
M-79|http://upload.wikimedia.org/wikipedia/commons/1/1e/Deutschland_Bundeslaender_1952.png|WEBIMAGE||wikipedia
M-80|http://upload.wikimedia.org/wikipedia/commons/f/f6/Stamp_Josef_Stalin_2.jpg|WEBIMAGE||wikipedia
M-81|http://upload.wikimedia.org/wikipedia/commons/6/6d/Bundesarchiv_Bild_175-14676%2C_Leipzig%2C_Reichsgericht%2C_russischer_Panzer.jpg|WEBIMAGE||wikipedia
M-82|http://upload.wikimedia.org/wikipedia/commons/c/cf/Bundesarchiv_Bild_183-30562-0001%2C_Warschauer_Konferenz%2C_Grotewohl_unterzeichnet.jpg|WEBIMAGE||wikipedia
M-83|http://upload.wikimedia.org/wikipedia/commons/b/be/Sputnik_asm.jpg|WEBIMAGE||wikipedia
M-84|http://upload.wikimedia.org/wikipedia/commons/7/71/Bundesarchiv_Bild_173-1321%2C_Berlin%2C_Mauerbau.jpg|WEBIMAGE||wikipedia
M-85|http://upload.wikimedia.org/wikipedia/commons/5/56/John_F._Kennedy_speaks_at_Rice_University.jpg|WEBIMAGE||wikipedia
M-86|http://upload.wikimedia.org/wikipedia/commons/2/27/Apollo_11_insignia.png|WEBIMAGE||wikipedia
M-87|http://upload.wikimedia.org/wikipedia/commons/1/15/Bundesarchiv_Bild_183-L0603-406%2C_Berlin-Kontrollratsgeb%C3%A4ude%2C_Vierm%C3%A4chteabkommen.jpg|WEBIMAGE||wikipedia
M-88|http://upload.wikimedia.org/wikipedia/commons/b/be/Bundesarchiv_Bild_183-P0801-026%2C_Helsinki%2C_KSZE-Konferenz%2C_Schlussakte.jpg|WEBIMAGE||wikipedia
M-89|http://upload.wikimedia.org/wikipedia/commons/1/16/Bundesarchiv_Bild_183-P0730-033%2C_Helsinki%2C_KSZE-Konferenz%2C_Honecker%2C_Schmidt.jpg|WEBIMAGE||wikipedia
M-90|http://upload.wikimedia.org/wikipedia/commons/0/06/Pershing_II_PC022206C.png|WEBIMAGE||wikipedia
M-91|http://upload.wikimedia.org/wikipedia/commons/d/d8/Chernobylreactor_1.jpg|WEBIMAGE||wikipedia
M-92|http://upload.wikimedia.org/wikipedia/commons/5/52/Thefalloftheberlinwall1989.JPG|WEBIMAGE||wikipedia
M-93|http://upload.wikimedia.org/wikipedia/commons/1/13/EinigungsvertragBRD-DDR.JPG|WEBIMAGE||wikipedia
M-94|http://upload.wikimedia.org/wikipedia/commons/0/09/Bundesarchiv_B_145_Bild-F083821-0005%2C_Bonn%2C_Ausw%C3%A4rtiges_Amt%2C_2-4_Verhandlungen.jpg|WEBIMAGE||wikipedia
M-95|http://upload.wikimedia.org/wikipedia/commons/8/86/Bundesarchiv_Bild_183-1990-1003-400%2C_Berlin%2C_deutsche_Vereinigung%2C_vor_dem_Reichstag.jpg|WEBIMAGE||wikipedia
M-96||WEBIMAGE||wikipedia
M-97|http://upload.wikimedia.org/wikipedia/commons/7/71/Boris_Yeltsin_19_August_1991-1.jpg|WEBIMAGE||wikipedia
M-98|http://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg|WEBIMAGE||wikipedia
