Medien|||||
|||||
ID|Dateiname|Beschreibung|Quellenangabe|Crop|Type
M72|StudienkompassPortraitSukhdeep.jpg|Sukhdeep Singh Arora, Studienkompass-Teilnehmer aus Frankfurt am Main|Quelle: Dirk Mathesius|WAHR|IMAGE
M73|SKTeilnehmerWorkshopBoden.jpg|Gruppenarbeit bei einem Studienkompass-Workshop|Quelle: Rolf Schulten|WAHR|IMAGE
M74|SKTeilnehmerWorkshopinBerlin.jpg|Zwei Teilnehmerinnen des Workshops „Studiennavigator“|Quelle: Rolf Schulten|WAHR|IMAGE
M75|SKKarriereplaner.jpg|2010: Studienkompass-Absolventen beim Workshop „Karriereplaner“|Quelle: Dirk Mathesius|WAHR|IMAGE
M76|SKInformationsbroschuere.jpg|Wie Eltern ihre Kinder bei der Berufs- und Studienorientierung unterstützen können, zeigt die Studienkompass-Broschüre für Eltern.|Quelle: sdw|FALSCH|IMAGE
M77|SKDiskussionsveranstaltung.jpg|2010: Studienkompass-Teilnehmer organisieren und moderieren eine Diskussionsrunde.|Quelle: Heidi Scherm|WAHR|IMAGE
M78|KOMPASSVerleihungneu.jpg|Das Studienkompass-Team um Programmleiter Dr. Ulrich Hinz (re.) bei der Preisverleihung des Kommunikationspreises KOMPASS 2011|Quelle: Göran Gnaudschun.Bundesverband Deutscher Stiftungen|WAHR|IMAGE
M79|TeilnehmerinnendesZukunftsplaners.jpg|Wo liegen meine Stärken? – Teilnehmerinnen des Zukunftsplaners 2011|Quelle: Rolf Schulten|WAHR|IMAGE
M80|DrSvenMurmannKiel.jpg|Dr. Sven Murmann (re.), stellvertretender Vorstandsvorsitzender der sdw, bei einer Aufnahmefeier des Studienkompass in Kiel im Jahr 2011|Quelle: Thomas Eisenkrätzer|WAHR|IMAGE
M81|SKVerabschiedung2012.jpg|Der dritte Studienkompass-Jahrgang wird im Juni 2012 verabschiedet.|Quelle: Rolf Schulten|WAHR|IMAGE
M82|SKWorkshopszene2012.jpg|2012: Workshopszene im Studienkompass.|Quelle: Rolf Schulten|WAHR|IMAGE
M83|SKVerabschiedungPaderborn.jpg|Verabschiedung von Studienkompass-Teilnehmern 2013 in Paderborn; 2. v. l.: Martin Nixdorf; rechts: Dr. Bernd Klein, Geschäftsführer der Heinz Nixdorf Stiftung|Quelle: Jan Braun|WAHR|IMAGE
M84|MINToringLabor3DM.jpg|MINToring-Entdeckungsreise in die Elektrochemie|Quelle: Dirk Mathesius|WAHR|IMAGE
M85|MINToringLabor.jpg|MINToring-Teilnehmer im Labor|Quelle: Dirk Mathesius|WAHR|IMAGE
M86|MINToring2Chemikerinnen.jpg|MINToring-Schülerinnen experimentieren im Gläsernen Labor Berlin.|Quelle: Dirk Mathesius|WAHR|IMAGE
M87|MINToringLampe.jpg|Technik begeistert: MINToring-Schüler zu Gast am MikroLAB Berlin|Quelle: Marek Kruszewski|WAHR|IMAGE
M88|MINToringgelbesLabor.jpg|Volle Konzentration beim MINToring-Experimentier-Camp 2010|Quelle: Dirk Mathesius|WAHR|IMAGE
M89|PressebildMINToring.jpg|MINToring-Programmschüler entdecken ihren Forschergeist.|Quelle: Dirk Mathesius|WAHR|IMAGE
M90|MINToringLabor10.jpg|MINToring-Experimentiercamp in Saarbrücken 2011|Quelle: Uwe Bellhäuser|WAHR|IMAGE
M91|MINToringMikroskop.jpg|Man sieht: Hier wird geforscht!|Quelle: Uwe Bellhäuser|WAHR|IMAGE
M92|SWMMINToring028.jpg|MINToring-Teilnehmer 2012 in Stuttgart|Quelle: Frank Eppler|WAHR|IMAGE
M93|//www.youtube.com/embed/OtvpcUmAUxY|Das Video zum Programm MINToring|Quelle: sdw|WAHR|YOUTUBE
M94|ZWDKTheaterworkshop.jpg|Kreativität gefragt: Bewerbungstraining im Rahmen eines Theaterworkshops bei Zeig, was Du kannst!|Quelle: Dirk Mathesius|WAHR|IMAGE
M95|ZWDKAuftakt.jpg|Jugendliche Teilnehmer des Projekts Zeig, was Du kannst!|Quelle: Dirk Mathesius|WAHR|IMAGE
M96|ZWDKHoffmann1.jpg|Bei Zeig, was Du kannst! heißt es: Stärken erkennen, Perspektiven entwickeln, den eigenen Weg gehen.|Quelle: Frederika Hoffmann|WAHR|IMAGE
M97|ZWDKHrKramerinBremen.jpg|Absolventin von Zeig, was Du kannst! (2.v.re.) mit dem sdw-Vorstandsvorsitzenden Ingo Kramer (re.) in Bremen|Quelle: Frank Pusch|WAHR|IMAGE
M98|ZWDKSchueler.jpg|Teilnehmer eines Berufsvorbereitungscamps im Rahmen von Zeig, was Du kannst!|Quelle: Frederika Hoffmann|WAHR|IMAGE
M99|UJLogo.jpg|Logo zum Projekt Unternehmen:Jugend|Quelle: sdw|FALSCH|IMAGE
M100|UJmitTrainernamTisch.jpg|Unternehmen:Jugend: Ein Auszubildender informiert über seinen Beruf.|Quelle: Jo Neander|WAHR|IMAGE
M101|UJBaumdesLebens.jpg|Bei Unternehmen:Jugend wird die Zukunft geplant.|Quelle: Jo Neander|WAHR|IMAGE
M102|BetriebserkundungWolfsburg.jpg|Betriebserkundung der Unternehmen:Jugend-Teilnehmer in der Autostadt Wolfsburg|Quelle: Matthias Leitzke|WAHR|IMAGE
M103|BetriebserkundungHeizungSanitaer.jpg|Unternehmen:Jugend - Betriebserkundung in einem Fachbetrieb für Heizung, Sanitär, Klima|Quelle: photothek.net|WAHR|IMAGE
M104|UJbeiMiele.jpg|Unternehmenserkundung bei der Miele & Cie. KG im Rahmen von Unternehmen:Jugend|Quelle: Jürgen Volkmann|WAHR|IMAGE
M105|UJFCSchwerin.jpg|Unternehmen:Jugend-Teilnehmer in Schwerin lernen ihre Fähigkeiten besser kennen.|Quelle: Christian Rödel|WAHR|IMAGE
M106|//www.youtube.com/embed/KTHMlDjPk4o|Das Video zum Projekt Unternehmen:Jugend|Quelle: sdw|WAHR|YOUTUBE
M107|AlumniGruppenfoto.jpg|Wird immer größer: der Alumni-Verein|Quelle: Alumni-Verein|WAHR|IMAGE
M108|WorkshopZeitmanagement.jpg|Unternehmens-Workshop mit Stipendiaten 2009 bei der SMS Siemag AG|Quelle: Bachhausen visual productions|WAHR|IMAGE
M109|viertessdwLogo.jpg||Quelle: sdw|WAHR|IMAGE
M110|PortraitIngoKramer2010.jpg|Seit 2010 Vorstandsvorsitzender der sdw: Ingo Kramer|Quelle: Nordmetall|WAHR|IMAGE
M111|MurmannUTEroeffnungskongress.jpg|Klaus Murmann bei der offiziellen Auftaktfeier für Herausforderung Unternehmertum in Hannover|Quelle:|WAHR|IMAGE
M112|AlumniGeschenk.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M113|ApplausfuerMurmann2.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M114|ApplausfuerMurmann3.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M115|MurmannandWitts.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M116|MurmannklopftBrackmann.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M117|Murmannshakeshands.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M118|MurmannHundt.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M119|Musiker3.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M120|RedeBrackmannPortrait.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M121|RedeKramerPortrait.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M122|Standingovation2.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M123|VerabschiedungKMDrHundt.jpg|Impressionen von der Verabschiedung Prof. Dr. Klaus Murmanns als Vorstandsvorsitzender der sdw|Quelle: Dirk Mathesius|WAHR|IMAGE
M124|PortraitArndtSchnoering.jpg|In Nachfolge von Hans-Jürgen Brackmann Generalsekretär der sdw seit 2011: Dr. Arndt Schnöring|Quelle: sdw|WAHR|IMAGE
M125|ProfDrChristianRoedl.jpg|Seit September 2011 sitzt Prof. Dr. Christian Rödl dem Förderverein vor.|Quelle: Rödl & Partner GbR|WAHR|IMAGE
M126|BPF2011Impression1.jpg|Impressionen vom Bildungspolitischen Forum „Herausforderung Bildungsgerechtigkeit“ im Februar 2011|Quelle: Bildschön|WAHR|IMAGE
M127|BPF2011Impression2.jpg|Impressionen vom Bildungspolitischen Forum „Herausforderung Bildungsgerechtigkeit“ im Februar 2011|Quelle: Bildschön|WAHR|IMAGE
M128|BPF2011Impression3.jpg|Impressionen vom Bildungspolitischen Forum „Herausforderung Bildungsgerechtigkeit“ im Februar 2011|Quelle: Bildschön|WAHR|IMAGE
M129|BPFBaumann.jpg|Ernst Baumann, Vorsitzender der Bundesarbeitsgemeinschaft <i>SCHULE</i>WIRTSCHAFT|Quelle: Bildschön|WAHR|IMAGE
M130|BPFBraun.jpg|Dr. Helge Braun, damaliger Parlamentarischer Staatssekretär im Bundesministerin für Bildung und Forschung|Quelle: Bildschön|WAHR|IMAGE
M131|BPFHundt.jpg|Prof. Dr. Dieter Hundt, ehemaliger Arbeitgeberpräsident und Vorsitzender des Kuratoriums der Stiftung der Deutschen Wirtschaft|Quelle: Bildschön|FALSCH|IMAGE
